"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Admin\SideBar\Sidebar.css", "PostCSS", 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Auth\SignIn.css", "PostCSS", 114, 0, 0, 0, 0, 0, 0, 0, 19, 133
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Auth\SignIn.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 30, 11, 152
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Footer\Footer.css", "PostCSS", 64, 0, 0, 0, 0, 0, 0, 2, 11, 77
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Footer\Footer.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Header\Header.css", "PostCSS", 101, 0, 0, 0, 0, 0, 0, 0, 17, 118
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\Header\Header.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 13, 67
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\LocationPicker\LocationPicker.css", "PostCSS", 34, 0, 0, 0, 0, 0, 0, 25, 7, 66
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\components\LocationPicker\LocationPicker.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 29, 30, 181
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\all.css", "PostCSS", 14507, 0, 0, 0, 0, 0, 0, 7, 4929, 19443
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\all.min.css", "PostCSS", 3, 0, 0, 0, 0, 0, 0, 5, 1, 9
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\brands.css", "PostCSS", 1072, 0, 0, 0, 0, 0, 0, 5, 533, 1610
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\brands.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-light.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-light.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-regular.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-regular.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-thin.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone-thin.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone.css", "PostCSS", 39, 0, 0, 0, 0, 0, 0, 5, 9, 53
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\duotone.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\fontawesome.css", "PostCSS", 13305, 0, 0, 0, 0, 0, 0, 7, 4374, 17686
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\fontawesome.min.css", "PostCSS", 3, 0, 0, 0, 0, 0, 0, 5, 1, 9
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\light.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\light.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\regular.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\regular.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-light.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-light.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-regular.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-regular.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-solid.css", "PostCSS", 51, 0, 0, 0, 0, 0, 0, 5, 9, 65
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-solid.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-thin.css", "PostCSS", 43, 0, 0, 0, 0, 0, 0, 5, 9, 57
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-duotone-thin.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-light.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-light.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-regular.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-regular.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-solid.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-solid.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-thin.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\sharp-thin.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\solid.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\solid.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\svg-with-js.css", "PostCSS", 387, 0, 0, 0, 0, 0, 0, 5, 70, 462
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\svg-with-js.min.css", "PostCSS", 1, 0, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\fontawesome\css\thin.css", "PostCSS", 12, 0, 0, 0, 0, 0, 0, 5, 3, 20
